Порядковый номер,Наименование,Сокращенное наименование,Руководитель,Адрес,Телефон,Эл.почта,Сайт,ИНН,КПП,ОГРН
93,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Коломяги,МА МО Коломяги,Врио Царенкова Елена Николаевна,"197375, Санкт-Петербург, Земский пер., д. 7",454-68-70,Mamo70@yandex.ru,Mokolomyagi.ru,7814333890,781401001,1057813325052
94,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Лисий Нос,МА МО пос. Лисий Нос,Тремасова Людмила Васильевна,"197755, Санкт-Петербург, п. Лисий Нос, Холмистая, д. 3/5","434-99-64, 434-90-29",Msmoln@mail.ru,Moposlisnos.ru,7814334950,781401001,1067847107591
95,Местная администрация внутригородского муниципального образования Санкт-Петербурга город Пушкин,МА МО г. Пушкин,Каратуев Артем Михайлович,"196600, Санкт-Петербург, г. Пушкин, Октябрьский бульвар, д. 24","451-75-03, 451-74-97, 470-56-87",Amop@bk.ru,Mo-gorodpushkin.ru,7820023424,782001001,1027809014914
96,Местная администрация внутригородского муниципального образования Санкт-Петербурга город Павловск,МА МО г. Павловск,Козлова Алла Владимировна,"196620, Санкт-Петербург, г. Павловск, Песчаный пер., д. 11/16","466-85-59, 465-19-16",1@mo-pavlovsk.ru,Mo-pavlovsk.ru,7822005460,782001001,1027809003331
97,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Шушары,МА МО пос. Шушары,Измайлова Елена Владимировна,"196626, Санкт-Петербург, п. Шушары, ул. Школьная, д. 5, лит. А",438-59-58,4511497@mail.ru,Мошушары.рф,7820029539,782001001,1027809006191
98,Местная администрация внутригородского муниципального образования города федерального значения Санкт-Петербурга поселок Александровская,МА МО пос. Александровская,Кирин Кирилл Сергеевич,"196631, Санкт-Петербург, п. Александровская, Волхонское ш., д. 33",451-36-14,Possovet@list.ru,Моалександровская.рф,7820035050,782001001,1027809006356
99,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Тярлево,МА МО пос. Тярлево,Николаев Андрей Олегович,"196625, Санкт-Петербург, п. Тярлево, ул. Новая, д. 1",466-79-68,Tyarlevo-spb@mail.ru,Mo-tyarlevo.ru,7820305475,782001001,1057813272330
100,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Волковское,МА МО Волковское,Раимов Михаил Михайлович,"192102, Санкт-Петербург, ул. Стрельбищенская, д. 22","766-03-36, 766-16-24",Info@volkovskoe.ru,Volkovskoe.ru,7816377413,781601001,1057812989915
101,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ №72,МА МО №72,Тенищева Ольга Гильмановна,"192241, Санкт-Петербург, ул. Пражская, д. 35",360-39-22,72@mo72.ru,Mo72.ru,7816228242,781601001,1037835070822
102,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Купчино,МА МО Купчино,Голубев Алексей Валерьевич,"192071, Санкт-Петербург, ул. Бухарестская, д. 43, лит. А",402-46-06,Info@mokupchino.ru,Mokupchino.ru,7816142620,781601001,1037835053497
103,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Георгиевский,МА МО Георгиевский,Козицина Марина Вячеславовна,"192286, Санкт-Петербург, ул. Димитрова, д. 18, к. 1","773-87-94 , 772-60-96",Info@mo-georgievskiy.ru,Mo-georgievskiy.ru,7816382452,781601001,1067847202653
104,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Александровский,МА МО Александровский,Новик Трофим Викторович,"192289, Санкт-Петербург, ул. Малая Балканская, д. 58",706-44-25,Info@mo75.ru,Mo75.ru,7816381321,781601001,1067847083270
105,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Балканский,МА МО Балканский,Агеева Марина Александровна,"192283, Санкт-Петербург, Купчинская ул., д. 32, лит. В",244-50-83,Mo-balkanskiy@mail.ru,Mo-balkanskiy.ru,7816375800,781601001,1057812743878
106,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Дворцовый округ,МА МО Дворцовый округ,И.о. Скорописов Андрей Юрьевич,"191186, г.Санкт-Петербург, Невский проспект, дом 22-24, литера А",571-86-23,Info@dvortsovy.spb.ru,Dvortsovy.spb.ru,7825404590,784101001,1037843061574
107,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ № 78,МА МО № 78,И.о. Кузьмина Екатерина Александровна,"191023, Санкт-Петербург, ул. Гороховая, д. 48",310-88-88,Momo78.ms@gmail.com,Momo78.ru,7840310716,784001001,1057810006836
108,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Литейный округ,МА МО Литейный округ,И.о. Аникина Елена Борисовна,"191187, Санкт-Петербург, ул. Чайковского, д. 13","272-13-73, 719-75-08",Administr@liteiny79.spb.ru,Liteiny79.spb.ru,7825124200,784101001,1027809257574
109,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Смольнинское,МА МО Смольнинское,И.о. Колб Александр Федорович,"191124, Санкт-Петербург, Суворовский пр., д. 60","274-54-06, 274-17-98",Info@smolninskoe.spb.ru,Smolninskoe.spb.ru,7825453050,784201001,1037843095047
110,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Лиговка-Ямская,МА МО Лиговка-Ямская,И.о. Созинов Павел Борисович,"191024, Санкт-Петербург, ул. Харьковская, д. 6/1",717-87-44,Ma@ligovka-yamskaya.ru,Лиговка-ямская.рф,7842006310,784201001,1047844002150
111,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Владимирский округ,МА МО Владимирский округ,Небензя Павел Геннадьевич,"191119, Санкт-Петербург, ул. Правды, д. 12",713-27-88,Sovetvo@mail.ru,Владимирскийокруг.рф,7840328382,784001001,1057813015149
