№,Полное наименование муниципального совета муниципального образования,Сокращенное наименование муниципального совета муниципального образования,ФИО Главы муниципального образования,Адрес муниципального совета,телефон,e_mail,Сайт,ИНН,КПП,ОГРН
91,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Озеро Долгое,МС МО Озеро Долгое,Бенеманский Дмитрий Вадимович,"197349, Санкт-Петербург, пр. Испытателей, д. 31, корп. 1",301-05-01,Mo68@list.ru,Ozero-dolgoe.net,7814092405,7814401001,1037832025604
92,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Юнтолово,МС МО Юнтолово,Гревцева Светлана Кузьминична,"197373, Санкт-Петербург, ул. Шаврова, д. 5, корп. 1",307-29-76,Mo69@mail.ru,Untolovo.org,7814087324,781401001,1037832008026
93,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Коломяги,МС МО Коломяги,Борисенко Сергей Эдуардович,"197375, Санкт-Петербург, Земский пер., д. 7",454-68-70,Mсmo70@yandex.ru,Mokolomyagi.ru,7814093840,781401001,1037832011216
94,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Лисий Нос,МС МО пос. Лисий Нос,Хмелева Екатерина Викторовна,"197755, Санкт-Петербург, п. Лисий Нос, Холмистая, д. 3/5",434-90-29,Msmoln@mail.ru,Moposlisnos.ru,7814086602,781401001,1067847107591
95,Пушкинский муниципальный совет,Пушкинский муниципальный совет,Гребенёв Николай Яковлевич,"196600, Санкт-Петербург, г. Пушкин, Октябрьский бульвар, д. 24",466-24-01,Mopushkin@mail.ru;,Mo-gorodpushkin.ru,7820022205,782001001,1027809007533
96,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга город Павловск,МС МО г. Павловск,Зибарев Валерий Викторович,"196620, Санкт-Петербург, г. Павловск, Песчаный пер., д. 11/16",465-17-73,1@mo-pavlovsk.ru,Mo-pavlovsk.ru,7822005460,782001001,1027809003331
97,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Шушары,МС МО пос. Шушары,Медведев Евгений Константинович,"196626, Санкт-Петербург, п. Шушары, ул. Школьная, д. 5, лит. А","726-34-86, 438-59-58",Ms7263486@mail.ru,Мошушары.рф,7820022290,782001001,1027809006103
98,Муниципальный совет внутригородского муниципального образования города федерального значения Санкт-Петербурга поселок Александровская,МС МО пос. Александровская,Косицына Татьяна Анатольевна,"196631, Санкт-Петербург, п. Александровская, Волхонское ш., д. 33",451-36-18,Possovet@list.ru,Моалександровская.рф,7820022325,782001001,1027809006378
99,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга поселок Тярлево,МС МО пос. Тярлево,Бекеров Геннадий Александрович,"196625, Санкт-Петербург, п. Тярлево, ул. Новая, д. 1",466-79-68,Tyarlevo-spb@mail.ru,Mo-tyarlevo.ru,7822005519,782001001,1027809016520
100,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Волковское,МС МО Волковское,Дементьев Павел Сергеевич,"192102, Санкт-Петербург, ул. Стрельбищенская, д. 22","766-03-36, 766-16-24",Info@volkovskoe.ru,Volkovskoe.ru,7816131434,781601001,1027808009492
101,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ № 72,МС МО № 72,Швец Павел Евгеньевич,"192241, Санкт-Петербург, ул. Пражская, д. 35",360-39-22,72@mo72.ru,Mo72.ru,7816131240,781601001,1037835070822
102,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Купчино,МС МО Купчино,Пониматкин Алексей Владимирович,"192212, Санкт-Петербург, ул. Будапештская, д. 19, корп. 1",703-04-10,Mocupch@gmail.com,Mokupchino.ru,7816130896,781601001,1037835053520
103,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Георгиевский,МС МО Георгиевский,Жолдасов Виталий Владимирович,"192286, Санкт-Петербург, ул. Димитрова, д. 18, к. 1","773-87-94 , 772-60-96",Info@mo-georgievskiy.ru,Mo-georgievskiy.ru,7816131699,781601001,1037835038240
104,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Александровский,МС МО Александровский,Коробко Василий Андреевич,"192289, Санкт-Петербург, ул. Малая Балканская, д. 58",706-44-25,Info@mo75.ru,Mo75.ru,7816130399,781601001,1027808013056
105,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Балканский,МС МО Балканский,Лебедев Савелий Андреевич,"192283, Санкт-Петербург, Купчинская ул., д. 32, лит. В",244-50-83,Mo-balkanskiy@mail.ru,Mo-balkanskiy.ru,7816130381,781601001,1027808005620
106,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Дворцовый округ,МС МО Дворцовый округ,Бисерова Мария Владимировна,"191186, г.Санкт-Петербург, Невский проспект, дом 22-24, литера А",315-53-65,Info@dvortsovy.spb.ru,Dvortsovy.spb.ru,7825404590,784101001,1037843061574
107,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ № 78,МС МО № 78,Ожогина Татьяна Александровна,"191023, Санкт-Петербург, ул. Гороховая, д. 48",310-88-88,Msmo78.ms@gmail.com,Momo78.ru,7825404367,784001001,1027809229194
108,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Литейный округ,МС МО Литейный округ,Дайняк Павел Валерьевич,"191123, г.Санкт-Петербург, проспект Чернышевского, дом 17, литера А","579-88-50, 579-88-46",Administr@liteiny79.spb.ru,Liteiny79.spb.ru,7825119225,784101001,1027809250193
109,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Смольнинское,МС МО Смольнинское,Ранков Григорий Михайлович,"191124, Санкт-Петербург, Суворовский пр., д. 60","274-54-06, 274-17-98",Info@smolninskoe.spb.ru;,Www.smolninskoe.org,7825682766,784201001,1067847030195
110,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга Санкт-Петербурга муниципальный округ Лиговка-Ямская,МС МО Лиговка-Ямская,И.о. Ильин Сергей Александрович,"191024, Санкт-Петербург, ул. Харьковская, д. 6/1",717-87-44,Ms@ligovka-yamskaya.ru,Лиговка-ямская.рф,7825682759,784201001,1027809235761
111,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга Санкт-Петербурга муниципальный округ Владимирский округ,МС МО Владимирский округ,Тихоненко Денис Викторович,"191119, Санкт-Петербург, ул. Правды, д. 12",710-89-41,Sovetvo@mail.ru,Владимирскийокруг.рф,7825691873,784001001,1037843052939
